Review	Star
I use this daily as a setting spray after I put on makeup.It smells amazing and really seal my makeup for the day.  It lasts hours until I go home from work.They have sold me and I am a true customer for life.	5
OMG!  Where has this been!  I love how my face looked after I spray this! Feels and looks refresh and my skin is softer and firmer! Love it! Next time I will buy the larger bottle!	5
I like this product it’s good for my sensitive skin doesn’t cause me to break out nice subtle glow does well on top of my other skin products	5
Was completely influenced to by this by Nikki La Rose and another YouTube makeup artist and I’m not mad about it. I have dry skin and have had issues with my makeup sticking to dry patches, flaking or just looking dull on my face. I like to do my makeup in a way that will have it last from morning all the way up to when I wash it off at the end of the night- which means I have my liquid/cream layer and powders over top. If you have dry skin like me you know that powders can often times just accentuate dryness and also appear cakey if not done correctly when applied over creams/liquids. Up until this point Charlotte tilbury was my go to setting spray because it has done the best at making my makeup look less makeupy, blending everything seamlessly and for the most part hiding my dryness. It wasn’t perfect but it was the best.THEN I was told about this stuff. Let me tell you, this will never not be in my arsenal of holy grails. I did my makeup as usual, experienced the few dry patches I sometimes run into even though I have done all the skin prepping and hydrating both nightly and morning before applying my makeup. I sprayed this on as my final step- shook it a few times and sprayed just 3 sprays on my face (that’s all you need trust me!) and Oh MY GOD- my makeup looks FLAWLESS.Again I use this as a setting spray so I can’t speak to its serum properties and what it does for bare skin- I’m sure it’s lovely- but it melted my creams/powders together in a way that completely erased pores and hid my fine lines. It doesn’t feel gross or heavy on the skin. It does have a bit of a scent that does last some time but it’s not offensive in anyway and my husband didn’t notice it.Overall, love this product I hope it never goes away. It’s been added to my subscriptions.	5
I love this mist.  The smell isn't too overpowering, but if you're really sensitive to smells, this may not be for you.  I have dry, mature skin and this helps with hydration.  It doesn't make my face shiny.  It just helps it not look so dry and flat when I put on makeup.	5
Vi este producto y busqué y tiene muy buenas reseñas, a penas lo estoy utilizando y huele muy rico y se siente bien en la piel, te deja un glow en la piel que es 100/10	5
Love this product, have been using it for a while and stopped when I ran out, but needed to purshace again! Its lightweight and makes your skin look like glass skin, highly recommend if you have a simple skin care routine	5
Nunca imagine el cambio tan rápido de; mi de tono de piel, como esta más brillante y más hidratada. Excelente producto.	5
I bought this, because it was a TikTok recommendation and it did not disappoint. My skin loves it. I use it as my first step in my skincare routine and sometimes my last step.I like the scent, it's very elegant. It absorbed nicely into my skin and helps prep my skin for the next step of my skincare routine.	5
I’m on my third bottle of this stuff! The smell is great and it makes my skin feel hydrated after using. Will continue to buy!	5
Trust me, BUY IT!!! So amazing. I use it before applying makeup and after to set it. Reduces appearance of fine lines and smells so good! Also evens out skin . Make sure you shake it before you use it every time	5
I’ve been testing out facial sprays and this one has been the most moisturizing by far. It sprays on easily and a little goes a long way. Not only is it refreshing, but it absorbs really well and leaves your skin feeling plump. It has some weight to it so it actually feels like you’re using a product that is doing its job. But not so heavy it feels greasy or like a layer of cream on your face.	5
Deja la piel reluciente y glowy!!! Este no será el último. Desde ya forma parte de mi rutina de skin care. Lo uso antes del maquillaje y antes de dormir como parte de mi rutina.	5
This is the best serum spray! I use it twice a day. Once to set my makeup and in the afternoon for a touch up.  When its on sale, I buy at least 2 of these!!  A must have to keep your makeup looking fresh and a classy finish.	5
Me encanta te pongas maquillaje o solo en tu cara con tus cremas queda bello	5
This product is great. It’s super hydrating and it makes you look so glowy. It makes you look like you have natural glass skin. It’s also super lightweight and very hydrating.	5
Cumple las espectativas iniciales, se vera a lrgo plazo	5
Aunque no lo he usado por mucho tiempo siento que si funciona bien humecta la piel deja una sensación de humectación, y de una piel más viva, me ha gustado mucho.	5
Me encanta cero grasa y la piel lindisima	5
I mean, I use it as a primer, i love the glowing thar leaves on my face and neck. healthy look, convenient bottle, pricing/ quality nice. I would buy it again no doubt.	5
I am so glad I bought this the results are nothing short of a miracle. I keep mine in the fridge and it just elevates the cool mist . The texture od the sking is so good!	5
Es un glow radiante, todas lo deberíamos comprar 🫶🏻	5
This has to be the best face spray I have ever used. Love..love..love it.  Subtle glow is perfect.	5
My skin is beautiful	5
Muy bueno, lo recomiendo..gracias	5
Very light texture, medium size bottle. Easy to use sprays very soft. Leaves the skin looking dewy and glowing. Very light product. A slight scent. I’m really liking how my skin looks and feels. You do need to shake the product before use. It’s vegan so really seems to be of good quality and really does wonders for your skin. This will definitely be a product on my regular shopping list. I have yet to see how it will work with my makeup on.	5
Es muy producto q deja la piel con un brillo espectacular y el.maquillsje dura por más tiempo.	5
Delightful treat for your face, keep it in the fridge… feels so nice straight from the fridge.	5
Es muy refrescante, si da un brillo bonito	5
Great product	5
It has evened my skin texture. Very effective. Absorbs quickly. Gives a beautiful glow to my skin. And it's light. You can add more skincare on top of it.	5
This serum has helped a lot to mi wife.	5
Queda suave la piel, quiero ver ya los resultados finales por su uso	5
This product feels very good on my skin I have noticed a change in the appearance of my skin it looks a little tighter and feels that way too smoother and a little more radiant I will order this product again	5
Aplus	5
This face mist is so light and smells amazing. I keep mine in the refrigerator and it is so refreshing. JUNGKOOK of BTS uses this and I just had to have it. It’s the best face mist I’ve ever tried. Highly recommend it.	5
It feels amazing - so nourishing to my skin. I can’t stop spraying it all day :)	5
I use this before my moisturizers or after makeup it leaves me looking dewy and glowy	5
Excellent product	5
Su aroma y su textura perfecta y mi piel muy hidratada todas las mañanas .	5
Bought this for my face because I have been swimming several times a week this summer and didn’t want to use anything with alcohol based products. So many products contain a substantial amount of alcohol in the first few ingredients. I tried it as soon as it arrived and have been using it every night before bedtime. Leaves my face feeling moisturized and so smooth. Lightweight and really easy to apply in about 4 spritzes, my face feels and looks great. Try it and I’m sure you’re going to love it.	5
I don’t know if it’s just the illusion of having moisturized and healthy skin and I don’t care because dang, it really works! Smells nice too. I’ll be using this every morning for the rest of eternity. They don’t sell it at Sephora so I’m guessing this is a best kept secret.	5
I travel a lot, and I love spraying this on my face throughout the day. It gives you a glowing look, and keeps you face looking hydrated.	5
Another Korean skincare product that is so soothing to the skin. I have put this on subscription. I really feel how moisturizing this is	5
La bruma huele bien; hace su cometido! Pero siento no es imprescindible en la rutina aún no se, si lo volvería a comprar!	5
Te deja la piel sedosa!!!	5
Gave me a beautiful glow	5
Muy buen producto y me hace un glow espectacular 😍😍😍😍😍	5
I don't know if this does anything to my face I'm 70. What much can it do but I love how it feels. It is cooling. It gives my face a glow.I just love it I will continue to buy it.	5
I love. how this product works in my sensitive skin, I recommend this product!	5
Me encanta no es pegajoso y si se nota la diferencia mi cutis estás espectacular los cambios se notan lo recomiendo	5
It worth it to purchase during sale. Smells nice. Light and moitsuri. Sometimes feels a little bit sticky on the skin.	5
Me gusto que deja un glow increíble	5
i use this all time time even setting my make up	5
Truly an awesome product! I use this with my rosewater and glycerin spray as well and my face just looks so hydrated and dewy.	5
This spray works amazing on my face! Love the after glow it has!!	5
I use this right after washing my face, before applying actives and moisturizer. It feels great and has the perfect mist. I highly recommend.	5
The first day I used it I could tell this will stay in my skincare routine.Slight but fresh fragrance that diapears.  Love this!	5
I like this, it’s an easy spray that has genuinely helped with getting rid of pimples and zits for sure! It does help with those black heads that are raised on the skin as well! The smell is really nice too, reminds me of just a clean and fresh smell, definitely buying again!	5
It leaves my skin beautiful, illuminated and radiant.	5
Huele delicioso y deja la piel perfecta	5
Great spray toner	5
It is very hydrating and it makes my skin glow.Pros.1. Hydrating2. Gives a healthy glow3. Nice scentCons.1. Oil separates2. Use up quickly	5
This stuff is amazing! I have skin that can get oily easy and very dry easy as well. This product is light and hydrating but not oily to break my skin out (which normally products do). I truly will buy this again and love the way it makes my skin look after using.	5
The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Play VideoPlayMuteCurrent Time0:00/Duration0:27Loaded:22.24%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:271xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionscaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.⭐️⭐️⭐️⭐️⭐️I am absolutely in love with the d'Alba Piedmont Italian White Truffle First Spray Serum! This product has been a game-changer for my skincare routine. From the very first use, I noticed a significant difference in the hydration and glow of my skin. The serum is lightweight and absorbs quickly, leaving no greasy residue.I have sensitive skin and was worried about trying a new product, but this serum is non-comedogenic and vegan, which made me feel confident about using it. The scent is subtle and luxurious, and the spray application is so convenient—perfect for a quick refresh during the day.After consistent use for a few weeks, my skin looks more radiant and feels incredibly soft. It has also helped to even out my skin tone and reduce the appearance of fine lines. I love that it's an all-in-one mist, saving me time and simplifying my skincare routine.Highly recommend this product to anyone looking for a high-quality, effective serum. It's worth every penny!	5
